ts,x,y
162548,915,443
162663,845,485
162777,912,438
162886,1078,496
162987,857,388
163107,973,598
163196,651,445
163286,809,576
163398,859,395
163491,1131,441
163602,1104,422
164010,1127,400
164106,1361,203
164221,1255,341
164405,1326,374
165497,1272,35
165588,1289,28
165800,1291,13
165901,1309,282
165996,1311,182
166401,1304,262
166902,1297,316
166996,1301,199
167418,1364,440
167526,975,280
167628,1024,380
167722,1063,356
167838,1152,297
167940,1146,364
168040,1066,365
168154,1066,397
168255,990,314
168369,1109,313
168468,1085,328
168576,1205,318
168679,1167,384
168769,1299,94
168861,1364,245
169129,1162,259
169219,1197,186
169324,1310,256
169413,1187,298
169498,1216,251
169711,1245,250
169803,1310,319
169921,1341,96
170018,1361,291
170856,527,569
170954,1015,530
171069,1354,235
171167,408,593
171266,983,123
171363,1320,134
171567,1231,461
171670,1282,405
171880,1358,356
172085,1363,281
172183,1298,197
172501,1225,79
172598,1336,203
172701,1270,273
172796,1305,180
172897,1317,373
172996,1366,500
173104,1222,238
173371,1264,47
173466,1301,125
173563,1287,160
173867,1357,305
174270,1364,204
174382,1334,291
174726,479,67
174838,794,135
174925,1204,123
175016,1343,259
175111,1285,489
175253,1302,452
175375,1250,333
175469,1271,372
175670,1226,334
175781,1353,423
175876,1148,229
175980,1117,227
176075,910,466
176177,1241,235
176268,1187,250
176869,1313,429
176954,1364,386
177142,1324,353
177237,1223,214
177346,1216,106
177524,1293,270
177606,1366,345
177751,1229,217
177814,1127,201
177908,1312,339
178356,1320,331
178579,1301,305
178890,1299,124
179037,1312,312
179113,1299,143
179538,1298,177
179646,1357,347
179997,1198,187
180079,1134,46
180187,1146,56
180288,1156,138
180384,1231,261
180475,1225,302
180583,1171,169
180675,1178,229
180780,1203,382
180870,1205,305
180992,969,376
181092,1294,185
181199,1174,255
181287,1329,322
181394,1193,368
181481,1223,295
181568,1303,117
181652,1244,263
181734,1295,182
181821,1287,311
181923,1157,208
182013,1156,267
182113,1196,133
182203,1171,291
182291,1238,133
182398,1128,202
182574,1261,285
183049,1088,91
183180,1055,331
183299,1134,319
183391,1066,275
183498,1100,167
183607,1112,288
183718,1129,125
183817,1089,298
183923,941,191
184033,1206,226
184141,1105,63
184250,1269,263
184353,1212,158
184466,1062,205
