startTime, endTime, duration, startX, startY
162663,162777,114,845,485
163602,164010,408,1104,422
165588,165800,212,1289,28
166401,166996,595,1304,262
167940,168154,214,1146,364
169498,169711,213,1216,251
171670,171880,210,1282,405
172701,172796,95,1270,273
173466,173563,97,1301,125
175469,175781,312,1271,372
176954,177142,188,1364,386
178356,178579,223,1320,331
180187,180288,101,1146,56
183299,183391,92,1134,319
186644,186856,212,1275,311
187282,187502,220,1197,218
188333,188765,432,1298,254
189318,189646,328,1140,233
191394,192146,752,1204,223
194161,194268,107,1245,191
198842,199235,393,1343,246
200548,200755,207,1262,229
202030,202138,108,1200,179
203923,204028,105,1117,226
206145,206549,404,1324,321
207400,207498,98,1116,244
209181,209279,98,1359,218
209907,210116,209,1271,290
210423,210648,225,1219,336
212126,212247,121,773,504
213455,213661,206,430,555
216255,216366,111,433,663
216889,217007,118,445,635
219798,219908,110,1225,540
222108,222212,104,496,695
224698,224787,89,1051,282
229536,229627,91,1163,340
233377,233469,92,1243,143
233904,234002,98,1082,160
235924,236146,222,1087,281
239100,239189,89,1065,282
239402,239718,316,1135,288
240969,241178,209,1206,321
241370,241585,215,1118,198
241782,241987,205,1356,333
243444,243539,95,987,333
244271,244700,429,1145,262
245010,245111,101,1162,345
246837,246949,112,429,638
247708,247819,111,485,635
248305,248411,106,526,712
249455,249668,213,959,623
250073,250300,227,898,499
254218,254327,109,781,632
255660,255867,207,998,522
257184,257281,97,1165,589
258380,258482,102,1093,534
259466,259765,299,1109,321
260083,260274,191,1077,319
260786,260885,99,1027,343
261088,261198,110,1141,358
263815,264330,515,1231,225
266334,266435,101,1202,197
271218,271315,97,1233,222
272313,273562,1249,1237,230
275095,276017,922,1264,170
276721,276827,106,1345,328
277037,277135,98,1245,210
279749,280165,416,1196,130
280968,281063,95,1119,283
281532,281629,97,1201,298
281829,281935,106,900,124
283151,283360,209,1271,243
283851,283947,96,1314,284
286352,286449,97,1249,241
288664,288775,111,969,230
291062,291166,104,1076,21
291676,291879,203,1039,415
292876,292876,0,1238,75
